ENSGid	gene_name
ENSG00000269202.1	RP4-614O4.12
ENSG00000226314.3	ZNF192P1
ENSG00000183250.7	C21orf67
ENSG00000148803.7	FUOM
ENSG00000205937.7	RNPS1
ENSG00000144118.9	RALB
ENSG00000183431.7	SF3A3
ENSG00000160075.10	SSU72
ENSG00000148935.6	GAS2
ENSG00000241464.3	RPL39P38
ENSG00000198885.5	ITPRIPL1
ENSG00000118855.14	MFSD1
ENSG00000077380.11	DYNC1I2
ENSG00000164615.3	CAMLG
ENSG00000167555.9	ZNF528
ENSG00000164344.11	KLKB1
ENSG00000186184.11	POLR1D
ENSG00000117174.6	ZNHIT6
ENSG00000260784.1	AC026150.6
ENSG00000172057.5	ORMDL3
ENSG00000249721.1	RP11-83M16.4
ENSG00000111321.6	LTBR
ENSG00000224914.2	LINC00863
ENSG00000246898.1	LINC00920
ENSG00000231246.1	RP5-965F6.2
ENSG00000183662.6	FAM19A1
ENSG00000087191.8	PSMC5
ENSG00000164306.6	PRIMPOL
ENSG00000166949.11	SMAD3
ENSG00000185900.5	POMK
ENSG00000112309.6	B3GAT2
ENSG00000221983.3	UBA52
ENSG00000141570.6	CBX8
ENSG00000125630.11	POLR1B
ENSG00000180822.7	PSMG4
ENSG00000101197.8	BIRC7
ENSG00000064726.5	BTBD1
ENSG00000228446.2	AC073052.1
ENSG00000119321.4	FKBP15
ENSG00000135702.10	CHST5
ENSG00000197181.7	PIWIL2
ENSG00000118579.7	MED28
ENSG00000178440.5	LINC00843
ENSG00000102804.10	TSC22D1
ENSG00000256436.1	TAS2R31
ENSG00000137841.7	PLCB2
ENSG00000271303.1	SRXN1
ENSG00000161800.8	RACGAP1
ENSG00000140259.6	MFAP1
ENSG00000111215.7	PRR4
ENSG00000122025.10	FLT3
ENSG00000067369.9	TP53BP1
ENSG00000106006.6	HOXA6
ENSG00000269746.1	AC009060.1
ENSG00000177225.12	PDDC1
ENSG00000204228.3	HSD17B8
ENSG00000081026.14	MAGI3
ENSG00000175826.7	CTDNEP1
ENSG00000164118.8	CEP44
ENSG00000273218.1	LLNLR-246C6.1
ENSG00000101452.10	DHX35
ENSG00000171885.9	AQP4
ENSG00000178623.7	GPR35
ENSG00000235641.3	LINC00484
ENSG00000261208.1	RP11-452D12.1
ENSG00000001461.12	NIPAL3
ENSG00000076344.11	RGS11
ENSG00000140323.4	DISP2
ENSG00000203797.5	DDO
